Country,HDI rank,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Group,region,sub-region,GINI coefficient,Internet users (per 100 people),"Labor force, female (% of total labor force)",Military expenditure (% of GDP),Pop growth (annual %),Pop density (people per sq. km of land area),Pop ages 0-14 (% of total),Pop ages 15-64 (% of total),Pop ages 65+ (% of total),"Pop, total",Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Rural population (% of total pop),"Unemployment, total (% of total labor force)","Fertility rate, total (births per woman)"
Norway,1,0.944,81.6,17.5,12.6,64992,Very high,Europe,Northern Europe,26.8,96.3,47.11038085,1.465836257,1.127736677,14.06516722,18.07642624,65.88987504,16.03369872,5137232,47043,13,19.792,3.400000095,1.78
Australia,2,0.935,82.4,20.2,13,42261,Very high,Oceania,Australia and New Zealand,30.3,84.56,45.38881977,1.805117829,1.488744923,3.054304831,18.7116203,66.56410562,14.72427408,23464086,35582,25,10.711,6,1.859
Switzerland,3,0.93,83,15.8,12.8,56431,Very high,Europe,Western Europe,28.7,87,46.15101081,0.65799317,1.220103973,207.2236309,14.76334742,67.3992554,17.83739718,8188649,62620,19,26.156,4.5,1.52
Denmark,4,0.923,80.2,18.7,12.7,44025,Very high,Europe,Northern Europe,24.8,95.99,47.68798596,1.172098607,0.507053283,133.0067169,17.0677393,64.43318714,18.49907356,5643475,17785,12,12.498,6.599999905,1.67
Netherlands,5,0.922,81.6,17.9,11.9,45435,Very high,Europe,Western Europe,25.1,93.17,46.06147329,1.175068274,0.359828173,500.8912385,16.69880638,65.59350179,17.70769183,16865008,82494,68,10.09,6.900000095,1.68
Germany,6,0.916,80.9,16.5,13.1,43919,Very high,Europe,Western Europe,27,86.19,45.91459248,1.191809717,-1.410379527,232.3477937,12.97724004,65.95247899,21.07028098,80982500,216973,176,24.906,5,1.39
Ireland,6,0.916,80.9,18.6,12.2,39568,Very high,Europe,Northern Europe,33.9,79.69,44.45529592,0.474963953,0.410851014,67.02315285,21.64895178,65.64911947,12.70192875,4617225,5853,10,37.048,11.60000038,1.96
United States of America,8,0.915,79.1,16.5,12.9,52947,Very high,Americas,Northern America,,,,,,,,,,,,,,,
Canada,9,0.913,82,15.9,13,42155,Very high,Americas,Northern America,32.1,87.12,47.12164915,1.000890503,1.098069388,3.908684105,16.03690063,68.27215163,15.69094774,35543658,149163,95,18.35,6.900000095,1.61
New Zealand,9,0.913,81.8,19.2,12.5,32689,Very high,Oceania,Australia and New Zealand,36.2,85.5,47.26514376,1.137030589,1.510339485,17.12696062,20.29292966,65.26445885,14.44261149,4509700,1349,17,13.749,5.599999905,1.92
Singapore,11,0.912,83,15.4,10.6,76628,Very high,Asia,South-Eastern Asia,46.4,82,44.20589626,3.155777509,1.298440178,7736.526167,15.88060188,73.06783187,11.05156625,5469724,3,59,0,3,1.25
Hong Kong,12,0.91,84,15.6,11.2,53959,Very high,Asia,Eastern Asia,53.7,,,,,,,,,,,,,,
Liechtenstein,13,0.908,80,15,11.8,79851,Very high,Europe,Western Europe,,95.21,,,0.66195113,233.0375,,,,37286,103,0,85.695,,1.45
Sweden,14,0.907,82.2,15.8,12.1,45636,Very high,Europe,Northern Europe,24.9,92.52,47.36509335,1.147874317,0.992219729,23.80348112,17.06409205,63.30428361,19.63162434,9696110,142207,18,14.335,8,1.89
United Kingdom,14,0.907,80.7,16.2,13.1,39267,Very high,Europe,Northern Europe,32.4,91.61,45.96109248,1.977827291,0.753349499,267.0737817,17.7023634,64.79905877,17.49857783,64613160,117161,141,17.655,6.300000191,1.83
